"bin","id","dom_ec","between","rank","power"
11,"POO",0.110081079615108,0,6,0.889918920384892
11,"OBB",0.137713008452945,25,7,0.862286991547055
11,"BBO",0.149748330886725,0,8,0.850251669113275
11,"OGO",0.15642161742107,13,9,0.84357838257893
11,"PPP",0.174429264437997,22,10,0.825570735562003
12,"GOO",0.0482361245779622,0,1,0.951763875422038
12,"GPG",0.0484586552761699,0,2,0.95154134472383
12,"GGG",0.0638721220887528,0,3,0.936127877911247
12,"GOP",0.0657322159023811,0,4,0.934267784097619
12,"OOP",0.0868635614372668,3,5,0.913136438562733
12,"BBO",0.11160378139448,0,6,0.88839621860552
12,"OBB",0.126065821860076,0,7,0.873934178139924
12,"POO",0.12827012045884,5,8,0.87172987954116
12,"PPP",0.149704060226393,8.5,9,0.850295939773607
12,"OGO",0.171193536777678,0,10,0.828806463222322
13,"GOO",0.0228279365769856,0,1,0.977172063423014
13,"GPG",0.0229876605263377,2,2,0.977012339473662
13,"GOP",0.0268840630037404,4,3,0.97311593699626
13,"GGG",0.0279112624026513,7,4,0.972088737597349
13,"OOP",0.0337069066923307,5,5,0.966293093307669
13,"BBO",0.0507083260369561,0,6,0.949291673963044
13,"PPP",0.08627941289526,10,7,0.91372058710474
13,"OBB",0.128867744012682,0,8,0.871132255987318
13,"OGO",0.138583579162408,20,9,0.861416420837592
13,"POO",0.179503077590332,6,10,0.820496922409668
13,"PBP",0.281740031100316,5,11,0.718259968899684
14,"GOO",0.0345959385861797,21.6666666666667,1,0.96540406141382
14,"GPG",0.0393645288759175,6,2,0.960635471124083
14,"GGG",0.0429864568970269,9,3,0.957013543102973
14,"GOP",0.0450970793599913,0,4,0.954902920640009
14,"OOP",0.0606228797239863,1,5,0.939377120276014
14,"BBO",0.090997816347869,24,6,0.909002183652131
14,"OBB",0.110016098948412,26,7,0.889983901051588
14,"OGO",0.135780195304177,16,8,0.864219804695823
14,"POO",0.14092861581308,2.83333333333333,9,0.85907138418692
14,"PBP",0.143130095843892,51,10,0.856869904156108
14,"PPP",0.156480294299469,0,11,0.843519705700531
15,"OOP",0.0656717109386991,14.1666666666667,1,0.934328289061301
15,"OBB",0.073646536408124,0,2,0.926353463591876
15,"PPP",0.0865158576008456,0,3,0.913484142399154
15,"GOP",0.0888011736769145,3,4,0.911198826323085
15,"BBO",0.0979602257530119,5.16666666666667,5,0.902039774246988
15,"GGG",0.0991242692213604,15.3333333333333,6,0.90087573077864
15,"OGO",0.0994937422933286,31.6666666666667,7,0.900506257706671
15,"GPG",0.107423534556383,28.6666666666667,8,0.892576465443617
15,"POO",0.131817990660848,3,9,0.868182009339152
15,"PBP",0.149544958890485,34.3333333333333,10,0.850455041109515
16,"OOP",0.0536022282533946,0,1,0.946397771746605
16,"GOP",0.0541869301740309,0,2,0.945813069825969
16,"GGG",0.0802147427716836,17,3,0.919785257228316
16,"BBO",0.08604633205456,23.5,4,0.91395366794544
16,"PBP",0.0926676890825979,13,5,0.907332310917402
