"actor","subject","actor_2","subject_2","rule_type","rule_time","date_period","Group"
"GPG","GOO","GOO","OBB","Pass-along",288,"2021-05-15 1","1"
"GOO","OBB","OBB","PPO","Pass-along",68,"2021-05-15 1","1"
"POP","OGO","OGO","BOB","Pass-along",787,"2021-05-15 1","1"
"GOO","OBB","OBB","BOB","Pass-along",56,"2021-05-15 1","1"
"BOB","GOO","GOO","GGG","Pass-along",251,"2021-05-15 1","1"
"GOO","GOP","GOP","PGG","Pass-along",668,"2021-05-15 1","1"
"GOO","PPP","PPP","PGG","Pass-along",531,"2021-05-15 1","1"
"GPG","GOO","GOO","PGG","Pass-along",389,"2021-05-15 1","1"
"BBB","GPG","GPG","BOB","Pass-along",60,"2021-05-15 1","1"
"POP","POO","POO","BOB","Pass-along",74,"2021-05-15 1","1"
"GPG","OPP","OPP","OOO","Pass-along",63,"2021-05-15 1","1"
"POP","OOO","OOO","OBB","Pass-along",936,"2021-05-15 1","1"
"OPP","PBB","PBB","OOP","Pass-along",107,"2021-05-15 1","1"
"BBB","POO","POO","GGG","Pass-along",137,"2021-05-15 1","1"
"GPG","BOB","BOB","OOP","Pass-along",24,"2021-05-15 1","1"
"PBB","GPG","GPG","OBB","Pass-along",224,"2021-05-15 1","1"
"PBB","GGO","GGO","GOP","Pass-along",229,"2021-05-15 1","1"
"GPG","OBB","OBB","GGG","Pass-along",84,"2021-05-15 1","1"
"BBB","GPG","GPG","PGG","Pass-along",4,"2021-05-15 1","1"
"BBB","GPG","GPG","POO","Pass-along",7,"2021-05-15 1","1"
"POP","OPP","OPP","PPO","Pass-along",454,"2021-05-15 1","1"
"PBB","GPG","GPG","PPO","Pass-along",89,"2021-05-15 1","1"
"POP","OGO","OGO","BOB","Pass-along",1230,"2021-05-15 1","1"
"OPP","PPO","PPO","GGG","Pass-along",662,"2021-05-15 1","1"
"BBB","OPP","OPP","PPP","Pass-along",134,"2021-05-15 1","1"
"BBB","GGO","GGO","BOB","Pass-along",768,"2021-05-15 1","1"
"BBB","GPG","GPG","PPO","Pass-along",834,"2021-05-15 1","1"
"OOP","OBB","OBB","BOB","Pass-along",752,"2021-05-15 1","1"
"OPP","GOP","GOP","GGG","Pass-along",124,"2021-05-15 1","1"
"OOO","GOO","GOO","GOP","Pass-along",2084,"2021-05-15 1","1"
"BBB","OOP","OOP","PGG","Pass-along",1326,"2021-05-15 1","1"
"POO","OPP","OPP","PBO","Pass-along",351,"2021-05-15 1","1"
"POO","GOP","GOP","BOB","Pass-along",63,"2021-05-15 1","1"
"BOB","OOO","OOO","GGG","Pass-along",1424,"2021-05-15 1","1"
"PBB","GPG","GPG","OBB","Pass-along",303,"2021-05-15 1","1"
"GOO","GGG","GGG","PGG","Pass-along",929,"2021-05-15 2","1"
"OOO","GGO","GGO","PPO","Pass-along",1999,"2021-05-15 2","1"
"PBB","GPG","GPG","GOO","Pass-along",1307,"2021-05-15 2","1"
"OGO","POO","POO","BOB","Pass-along",195,"2021-05-15 2","1"
"BBB","OPP","OPP","GOP","Pass-along",1107,"2021-05-15 2","1"
"OGO","POO","POO","BOB","Pass-along",1440,"2021-05-15 2","1"
"OPP","GOP","GOP","PPO","Pass-along",1837,"2021-05-15 2","1"
"OOP","GOO","GOO","PGG","Pass-along",762,"2021-05-15 2","1"
"OOP","OGO","OGO","OOO","Pass-along",197,"2021-05-15 2","1"
"OGO","OOO","OOO","GGG","Pass-along",7,"2021-05-15 2","1"
"POO","BOB","BOB","PGG","Pass-along",85,"2021-05-15 2","1"
"POO","BOB","BOB","PGG","Pass-along",582,"2021-05-15 2","1"
"BBB","GPG","GPG","PPP","Pass-along",13,"2021-05-15 2","1"
"OOP","OGO","OGO","OOO","Pass-along",330,"2021-05-15 2","1"
"BOB","GOO","GOO","PPP","Pass-along",6,"2021-05-15 2","1"
"BBB","PBB","PBB","GOP","Pass-along",100,"2021-05-15 2","1"
"PBB","GOP","GOP","BOB","Pass-along",2036,"2021-05-15 2","1"
"GPG","OPP","OPP","GOO","Pass-along",517,"2021-05-15 2","1"
"POP","POO","POO","BOB","Pass-along",1429,"2021-05-15 2","1"
"POP","OBB","OBB","PGG","Pass-along",3028,"2021-05-15 2","1"
"OOO","GPG","GPG","PBO","Pass-along",1618,"2021-05-15 2","1"
"BBB","PPO","PPO","GGG","Pass-along",612,"2021-05-15 2","1"
"GPG","PBO","PBO","OBB","Pass-along",2429,"2021-05-15 2","1"
"OGO","POO","POO","BOB","Pass-along",160,"2021-05-15 2","1"
"GPG","OGO","OGO","BOB","Pass-along",440,"2021-05-15 2","1"
"GOO","OBB","OBB","PPO","Pass-along",10,"2021-05-15 2","1"
"GOO","OGO","OGO","PGG","Pass-along",230,"2021-05-15 2","1"
